_id,type,created_at,country,school_id,fos,acquisition_channel,active,last_seen_at
62,student,2024-09-14 05:04:51,FR,2,data,organic,True,2024-11-25 05:04:51
63,professional,2024-12-03 12:51:20,FR,,,organic,True,2025-02-26 12:51:20
64,student,2024-03-30 19:47:37,FR,10,engineering,Ads,True,2024-10-02 19:47:37
65,student,2024-06-02 01:00:03,FR,2,marketing,school_event,False,2024-11-24 01:00:03
66,student,2024-09-03 19:48:42,FR,12,marketing,organic,True,2024-11-30 19:48:42
67,student,2024-09-03 15:24:44,FR,10,finance,Ads,True,2024-12-14 15:24:44
68,student,2024-05-15 04:06:17,FR,2,marketing,school_event,True,2024-05-20 04:06:17
69,professional,2024-06-12 06:05:21,FR,,,school_event,True,2024-11-19 06:05:21
70,student,2024-12-27 04:00:29,FR,1,engineering,school_event,True,2025-05-11 04:00:29
71,student,2024-05-11 19:16:36,FR,10,data,organic,True,2024-10-25 19:16:36
72,student,2024-03-13 12:51:48,FR,7,finance,organic,True,2024-05-07 12:51:48
73,professional,2024-02-05 21:29:10,FR,,,Ads,True,2024-07-15 21:29:10
74,student,2024-02-26 13:36:59,FR,9,engineering,school_event,True,2024-07-27 13:36:59
75,professional,2024-10-25 05:52:38,FR,,,school_event,True,2024-12-06 05:52:38
76,student,2024-01-05 07:21:46,FR,10,data,school_event,True,2024-07-06 07:21:46
77,student,2024-02-09 00:08:18,FR,2,finance,ads,True,2024-06-11 00:08:18
78,student,2024-09-15 10:51:45,FR,5,engineering,school_event,True,2025-03-29 10:51:45
79,student,2024-12-15 13:54:30,FR,2,marketing,Ads,True,2025-02-28 13:54:30
80,student,2025-01-11 09:32:35,FR,11,finance,organic,True,2025-07-17 09:32:35
81,professional,2024-08-09 01:08:12,FR,,,organic,True,2024-09-03 01:08:12
82,professional,2024-06-28 15:01:35,FR,,,school_event,True,2024-12-30 15:01:35
83,professional,2024-11-18 05:41:53,FR,,,school_event,True,2025-03-22 05:41:53
84,student,2024-06-09 15:40:20,FR,7,engineering,school_event,True,2024-11-10 15:40:20
85,student,2024-01-16 04:06:07,FR,5,engineering,school_event,False,2024-04-20 04:06:07
86,professional,2024-10-29 21:52:40,FR,,,school_event,True,2025-05-10 21:52:40
87,student,2024-06-20 07:08:21,FR,2,engineering,Ads,True,2024-10-27 07:08:21
88,professional,2024-09-08 01:54:31,FR,,,school_event,True,2025-01-10 01:54:31
89,student,2024-01-21 22:41:27,FR,5,engineering,ads,False,2024-05-14 22:41:27
90,professional,2024-12-24 14:40:58,FR,,,Ads,False,2025-04-05 14:40:58
91,professional,2024-12-19 04:12:35,FR,,,organic,True,2025-03-31 04:12:35
92,professional,2024-11-23 10:32:16,FR,,,organic,True,2025-03-28 10:32:16
93,professional,2024-02-10 10:56:45,FR,,,organic,True,2024-03-03 10:56:45
94,student,2024-02-01 06:27:57,FR,5,data,Ads,True,2024-02-11 06:27:57
95,student,2024-07-08 06:48:00,FR,9,engineering,ads,True,2024-09-06 06:48:00
96,student,2024-07-29 00:43:43,FR,7,finance,ads,True,2024-09-13 00:43:43
97,student,2024-03-24 23:06:24,FR,11,data,organic,True,2024-07-03 23:06:24
98,student,2024-06-03 01:08:06,FR,7,data,Ads,True,2024-08-24 01:08:06
99,student,2024-04-04 00:37:47,FR,2,data,organic,True,2024-09-25 00:37:47
100,student,2025-01-27 23:47:33,FR,8,marketing,ads,True,2025-06-06 23:47:33
101,professional,2024-10-08 07:40:27,FR,,,school_event,True,2025-02-01 07:40:27
102,professional,2024-08-16 18:42:02,FR,,,school_event,True,2025-02-24 18:42:02
103,student,2024-09-04 08:11:34,FR,9,data,organic,True,2024-11-10 08:11:34
104,student,2024-10-21 08:52:21,FR,7,marketing,ads,True,2025-01-17 08:52:21
105,professional,2024-06-13 18:12:02,FR,,,organic,True,2024-09-13 18:12:02
106,professional,2024-08-19 14:01:10,FR,,,ads,True,2024-10-11 14:01:10
107,professional,2024-11-11 16:22:09,FR,,,school_event,True,2025-01-16 16:22:09
108,student,2025-01-16 05:34:22,FR,10,engineering,ads,False,2025-03-18 05:34:22
109,student,2024-07-16 23:32:13,FR,7,marketing,school_event,True,2024-10-17 23:32:13
110,student,2024-09-08 22:23:48,FR,7,engineering,organic,True,2024-11-11 22:23:48
111,professional,2024-05-29 14:01:53,FR,,,organic,True,2024-10-18 14:01:53
112,student,2024-05-23 19:26:35,FR,7,finance,Ads,True,2024-08-06 19:26:35
113,student,2024-08-10 19:28:41,FR,1,finance,organic,True,2024-09-29 19:28:41
114,professional,2024-04-08 07:40:38,FR,,,organic,False,2024-04-26 07:40:38
115,student,2024-04-08 02:01:13,FR,2,engineering,ads,True,2024-09-06 02:01:13
116,professional,2025-01-06 19:52:46,FR,,,school_event,True,2025-01-24 19:52:46
117,professional,2025-01-06 01:31:03,FR,,,ads,True,2025-04-23 01:31:03
118,student,2024-02-11 15:20:44,FR,1,finance,Ads,True,2024-05-03 15:20:44
119,professional,2024-07-14 18:36:53,FR,,,school_event,True,2024-12-24 18:36:53
120,professional,2024-10-22 10:45:37,FR,,,school_event,True,2025-01-11 10:45:37
121,student,2024-11-29 01:58:03,FR,7,marketing,ads,True,2025-06-11 01:58:03
122,professional,2024-06-10 09:26:50,FR,,,Ads,True,2024-07-05 09:26:50
123,professional,2024-05-15 00:07:09,FR,,,ads,True,2024-09-01 00:07:09
124,student,2024-12-30 23:48:12,FR,5,marketing,ads,True,2025-07-03 23:48:12
125,professional,2024-12-18 15:45:26,FR,,,ads,True,2025-02-28 15:45:26
126,student,2024-06-02 15:37:02,FR,7,engineering,ads,True,2024-11-19 15:37:02
127,professional,2024-07-29 07:44:53,FR,,,ads,False,2024-10-20 07:44:53
128,student,2024-08-26 04:05:28,FR,11,data,school_event,True,2025-02-26 04:05:28
129,student,2024-08-15 11:02:12,FR,2,engineering,school_event,False,2024-08-30 11:02:12
130,student,2024-09-06 08:30:35,FR,7,data,ads,True,2025-03-02 08:30:35
131,student,2024-01-17 02:43:23,FR,9,marketing,ads,True,2024-03-06 02:43:23
132,student,2024-12-09 11:45:12,FR,2,marketing,Ads,True,2025-04-04 11:45:12
133,student,2025-01-16 22:25:59,FR,2,data,school_event,True,2025-04-16 22:25:59
134,professional,2024-03-22 05:52:59,FR,,,Ads,True,2024-09-20 05:52:59
135,student,2024-11-07 00:58:15,FR,5,data,school_event,False,2025-01-15 00:58:15
136,professional,2024-11-09 22:22:08,FR,,,ads,True,2025-04-01 22:22:08
137,student,2024-02-12 02:26:14,FR,2,finance,organic,True,2024-06-23 02:26:14
138,student,2024-02-10 02:06:47,FR,11,finance,organic,True,2024-04-28 02:06:47
139,student,2025-01-11 11:40:58,FR,10,data,ads,True,2025-06-20 11:40:58
140,student,2024-05-03 00:22:58,FR,7,marketing,ads,True,2024-05-31 00:22:58
141,professional,2024-03-29 03:04:06,FR,,,school_event,True,2024-09-15 03:04:06
142,student,2025-01-22 02:23:33,FR,11,marketing,organic,True,2025-05-30 02:23:33
143,student,2024-07-22 07:28:24,FR,10,finance,school_event,True,2024-12-27 07:28:24
144,student,2024-04-16 00:41:59,FR,2,data,organic,True,2024-08-05 00:41:59
145,professional,2025-01-29 08:54:58,FR,,,organic,True,2025-04-16 08:54:58
146,student,2025-01-15 07:33:27,FR,11,finance,school_event,True,2025-04-18 07:33:27
147,professional,2024-10-19 23:42:18,FR,,,school_event,True,2024-12-11 23:42:18
148,student,2024-07-22 11:39:28,FR,7,engineering,Ads,True,2024-11-09 11:39:28
149,professional,2025-01-02 08:54:58,FR,,,school_event,True,2025-06-25 08:54:58
150,student,2024-04-28 03:26:55,FR,10,engineering,ads,True,2024-10-01 03:26:55
151,professional,2024-03-18 22:55:54,FR,,,school_event,False,2024-07-17 22:55:54
152,professional,2024-04-21 23:15:06,FR,,,school_event,True,2024-06-04 23:15:06
153,professional,2024-08-03 20:22:57,FR,,,school_event,True,2024-10-31 20:22:57
154,student,2024-10-22 03:53:18,FR,11,marketing,school_event,True,2024-11-05 03:53:18
155,student,2024-07-21 08:26:04,FR,5,marketing,Ads,True,2024-11-14 08:26:04
156,student,2024-03-19 01:35:26,FR,2,engineering,Ads,True,2024-03-31 01:35:26
157,professional,2024-02-13 14:08:17,FR,,,organic,True,2024-06-07 14:08:17
158,professional,2024-11-16 01:12:04,FR,,,Ads,True,2024-12-11 01:12:04
159,student,2024-10-24 03:08:33,FR,2,finance,school_event,True,2024-12-04 03:08:33
160,professional,2024-07-30 06:28:50,FR,,,organic,True,2024-12-01 06:28:50
161,student,2024-05-02 16:52:44,FR,7,data,school_event,True,2024-10-04 16:52:44
162,professional,2024-11-25 13:41:30,FR,,,organic,True,2025-02-15 13:41:30
163,professional,2024-10-25 19:12:06,FR,,,school_event,True,2025-02-04 19:12:06
164,student,2024-08-26 19:27:39,FR,10,data,school_event,True,2025-01-22 19:27:39
165,student,2024-02-08 02:15:03,FR,11,engineering,organic,True,2024-04-11 02:15:03
166,student,2024-09-27 15:44:19,FR,1,finance,organic,True,2025-04-04 15:44:19
167,student,2024-04-16 05:44:59,FR,7,data,ads,True,2024-08-11 05:44:59
168,professional,2024-10-10 09:30:22,FR,,,Ads,False,2024-12-29 09:30:22
169,professional,2024-11-18 17:32:20,FR,,,Ads,True,2025-04-10 17:32:20
170,student,2024-10-11 04:04:43,FR,7,marketing,Ads,True,2025-02-16 04:04:43
171,student,2024-08-27 05:50:07,FR,2,data,school_event,True,2024-10-07 05:50:07
172,student,2024-06-24 05:45:45,FR,2,engineering,organic,False,2024-10-08 05:45:45
173,professional,2024-04-05 23:51:39,FR,,,school_event,True,2024-10-18 23:51:39
174,student,2024-10-22 22:49:48,FR,5,marketing,ads,True,2025-02-24 22:49:48
175,professional,2024-09-02 18:28:48,FR,,,Ads,True,2025-02-16 18:28:48
176,student,2024-09-11 17:13:59,FR,11,engineering,ads,True,2024-09-25 17:13:59
177,professional,2025-01-17 15:11:18,FR,,,ads,False,2025-06-08 15:11:18
178,professional,2024-12-18 08:31:57,FR,,,organic,True,2025-07-01 08:31:57
179,student,2024-11-21 13:05:20,FR,5,finance,school_event,True,2025-03-31 13:05:20
180,student,2024-08-06 06:44:03,FR,7,marketing,Ads,True,2024-10-10 06:44:03
181,student,2024-03-18 04:06:15,FR,7,marketing,organic,False,2024-06-01 04:06:15
182,professional,2024-04-04 21:13:19,FR,,,school_event,False,2024-06-02 21:13:19
183,student,2024-01-17 14:07:54,FR,5,data,organic,True,2024-02-23 14:07:54
184,student,2024-06-08 09:18:33,FR,12,data,Ads,True,2024-08-11 09:18:33
185,professional,2024-04-24 14:36:33,FR,,,ads,True,2024-06-05 14:36:33
186,student,2024-07-18 16:31:58,FR,11,data,ads,True,2024-10-22 16:31:58
187,student,2024-07-21 19:21:59,FR,2,marketing,ads,True,2024-08-08 19:21:59
188,professional,2024-11-22 23:16:24,FR,,,ads,True,2025-03-28 23:16:24
189,student,2024-10-08 04:53:44,FR,7,data,school_event,True,2025-03-19 04:53:44
190,professional,2024-09-05 06:47:48,FR,,,ads,False,2025-01-10 06:47:48
191,student,2024-11-27 02:18:58,FR,5,data,school_event,True,2025-03-25 02:18:58
192,professional,2024-03-03 18:02:37,FR,,,organic,True,2024-03-24 18:02:37
193,professional,2024-09-03 13:53:45,FR,,,organic,True,2025-02-09 13:53:45
194,student,2024-03-29 20:49:58,FR,5,finance,school_event,True,2024-05-31 20:49:58
195,student,2024-12-18 05:49:56,FR,1,engineering,school_event,True,2025-03-13 05:49:56
196,student,2024-07-27 23:29:24,FR,7,finance,school_event,False,2024-08-22 23:29:24
197,professional,2024-03-16 00:05:29,FR,,,organic,True,2024-08-10 00:05:29
198,professional,2024-09-03 01:02:47,FR,,,ads,True,2025-02-25 01:02:47
199,student,2024-11-24 12:06:51,FR,7,data,organic,True,2025-02-27 12:06:51
200,professional,2025-01-29 02:51:19,FR,,,Ads,True,2025-06-06 02:51:19
201,professional,2024-03-25 01:20:12,FR,,,organic,True,2024-07-02 01:20:12
202,professional,2024-08-22 08:53:16,FR,,,Ads,True,2025-01-17 08:53:16
203,student,2024-01-21 09:24:24,FR,1,marketing,ads,True,2024-07-23 09:24:24
204,student,2024-09-15 22:47:26,FR,5,data,Ads,True,2025-02-11 22:47:26
205,student,2024-02-24 01:09:58,FR,11,finance,ads,False,2024-07-13 01:09:58
206,professional,2024-11-22 02:14:41,FR,,,school_event,True,2025-03-01 02:14:41
207,professional,2024-09-18 22:56:07,FR,,,ads,True,2024-11-01 22:56:07
208,professional,2024-02-08 15:38:24,FR,,,ads,True,2024-07-31 15:38:24
209,student,2024-12-09 08:18:03,FR,2,engineering,organic,True,2025-04-24 08:18:03
210,professional,2024-11-29 22:10:15,FR,,,ads,True,2025-05-26 22:10:15
211,student,2024-08-28 13:21:15,FR,2,finance,school_event,True,2024-09-16 13:21:15
212,professional,2024-08-28 02:51:50,FR,,,Ads,True,2024-11-15 02:51:50
213,professional,2024-01-07 00:05:45,FR,,,school_event,True,2024-02-25 00:05:45
214,professional,2024-06-27 17:34:28,FR,,,organic,False,2025-01-07 17:34:28
215,professional,2024-01-15 13:22:03,FR,,,school_event,True,2024-04-09 13:22:03
216,student,2024-11-10 02:59:20,FR,7,engineering,organic,True,2024-11-20 02:59:20
217,student,2024-05-13 11:56:53,FR,12,engineering,organic,False,2024-06-14 11:56:53
218,professional,2024-11-07 00:55:32,FR,,,ads,True,2025-01-30 00:55:32
219,student,2024-06-21 02:24:09,FR,2,marketing,Ads,False,2024-12-05 02:24:09
220,professional,2025-01-31 02:11:43,FR,,,Ads,True,2025-05-05 02:11:43
221,student,2024-04-24 17:08:17,FR,7,finance,ads,True,2024-06-18 17:08:17
222,professional,2024-04-28 17:41:57,FR,,,ads,True,2024-10-10 17:41:57
223,student,2024-12-14 16:12:01,FR,9,marketing,organic,True,2025-01-05 16:12:01
224,student,2024-08-31 04:58:55,FR,2,data,organic,True,2024-11-23 04:58:55
225,student,2024-01-30 05:02:59,FR,9,data,organic,True,2024-02-23 05:02:59
226,student,2024-03-11 03:14:55,FR,5,engineering,school_event,True,2024-09-21 03:14:55
227,student,2024-12-15 07:38:37,FR,7,finance,organic,True,2025-04-27 07:38:37
228,professional,2024-02-18 01:24:33,FR,,,school_event,True,2024-05-20 01:24:33
229,student,2024-03-06 12:00:32,FR,7,finance,ads,True,2024-07-01 12:00:32
230,student,2024-05-03 07:14:37,FR,7,marketing,organic,True,2024-08-15 07:14:37
231,student,2024-09-09 19:37:14,FR,2,data,organic,False,2024-10-08 19:37:14
232,student,2024-10-27 06:04:44,FR,11,marketing,organic,True,2025-04-18 06:04:44
233,student,2024-04-26 19:09:43,FR,5,marketing,ads,True,2024-06-06 19:09:43
234,student,2024-09-17 23:08:19,FR,2,engineering,Ads,True,2024-10-13 23:08:19
235,professional,2024-10-19 13:48:40,FR,,,organic,True,2025-04-13 13:48:40
236,student,2024-03-13 14:05:22,FR,1,engineering,organic,False,2024-06-05 14:05:22
237,professional,2024-06-15 08:50:26,FR,,,organic,True,2024-10-22 08:50:26
238,professional,2024-04-16 20:24:14,FR,,,Ads,False,2024-05-16 20:24:14
239,student,2024-01-30 07:39:51,FR,7,marketing,Ads,True,2024-03-14 07:39:51
240,professional,2024-05-08 13:52:25,FR,,,school_event,False,2024-08-14 13:52:25
241,student,2024-07-17 11:53:01,FR,7,marketing,school_event,True,2024-09-21 11:53:01
242,professional,2024-12-30 07:05:04,FR,,,Ads,True,2025-05-30 07:05:04
243,student,2024-12-24 14:20:18,FR,1,marketing,school_event,True,2025-04-15 14:20:18
244,student,2024-06-04 02:38:07,FR,7,finance,organic,False,2024-10-10 02:38:07
245,student,2024-03-20 16:24:40,FR,2,data,organic,False,2024-05-05 16:24:40
246,professional,2024-04-24 10:46:40,FR,,,school_event,False,2024-06-24 10:46:40
247,student,2024-09-28 12:44:17,FR,7,engineering,ads,True,2025-01-06 12:44:17
248,professional,2024-03-04 09:14:08,FR,,,organic,True,2024-05-29 09:14:08
249,student,2024-09-15 10:15:54,FR,2,finance,ads,True,2025-01-18 10:15:54
250,student,2024-04-17 19:16:59,FR,7,engineering,school_event,True,2024-05-12 19:16:59
251,professional,2024-06-16 12:05:44,FR,,,Ads,True,2024-12-24 12:05:44
252,student,2024-11-24 18:02:26,FR,5,data,organic,True,2024-12-30 18:02:26
253,professional,2024-11-22 02:06:55,FR,,,school_event,False,2025-04-03 02:06:55
254,student,2024-01-13 18:22:37,FR,11,finance,Ads,True,2024-01-18 18:22:37
255,student,2024-07-23 20:26:32,FR,2,engineering,Ads,True,2024-08-18 20:26:32
256,student,2024-10-07 02:08:28,FR,5,data,ads,True,2025-02-09 02:08:28
257,professional,2024-10-27 11:59:25,FR,,,organic,True,2024-11-05 11:59:25
258,student,2024-02-22 11:24:05,FR,2,marketing,Ads,True,2024-08-05 11:24:05
259,professional,2024-09-13 06:35:46,FR,,,ads,True,2024-12-13 06:35:46
260,student,2024-05-15 23:53:52,FR,11,engineering,school_event,True,2024-06-23 23:53:52
261,professional,2024-12-21 11:45:56,FR,,,ads,True,2025-01-06 11:45:56
262,student,2024-02-02 13:11:00,FR,11,marketing,organic,True,2024-06-25 13:11:00
263,student,2024-01-29 10:39:38,FR,3,finance,organic,True,2024-02-15 10:39:38
264,student,2024-09-10 19:31:28,FR,7,data,organic,True,2024-12-26 19:31:28
265,student,2024-10-27 07:34:51,FR,10,marketing,Ads,True,2025-03-08 07:34:51
266,student,2024-07-28 04:02:02,FR,7,engineering,ads,True,2024-09-17 04:02:02
267,student,2024-09-05 11:48:54,FR,7,data,organic,True,2024-11-27 11:48:54
268,student,2024-11-26 23:22:45,FR,2,finance,school_event,True,2024-12-11 23:22:45
269,student,2024-09-21 20:10:54,FR,2,engineering,organic,True,2024-10-10 20:10:54
270,professional,2024-11-11 12:18:27,FR,,,organic,True,2025-05-26 12:18:27
271,student,2024-01-25 04:30:11,FR,11,finance,school_event,False,2024-02-16 04:30:11
272,professional,2024-10-11 12:51:27,FR,,,organic,True,2025-03-10 12:51:27
273,professional,2024-04-29 04:17:40,FR,,,school_event,True,2024-08-07 04:17:40
274,student,2024-02-29 17:14:53,FR,11,finance,organic,True,2024-08-18 17:14:53
275,professional,2024-03-29 02:50:07,FR,,,ads,True,2024-08-08 02:50:07
276,student,2024-04-01 11:13:26,FR,7,marketing,organic,True,2024-05-30 11:13:26
277,student,2024-08-24 19:32:19,FR,5,finance,ads,True,2024-09-16 19:32:19
278,student,2024-12-11 17:28:26,FR,5,data,organic,True,2025-06-15 17:28:26
279,professional,2024-08-22 12:44:42,FR,,,Ads,True,2025-02-22 12:44:42
280,student,2024-10-07 18:42:09,FR,8,finance,ads,True,2024-11-16 18:42:09
281,professional,2025-01-18 17:14:11,FR,,,ads,True,2025-06-18 17:14:11
282,student,2024-04-10 19:06:39,FR,11,data,ads,True,2024-10-15 19:06:39
283,student,2024-11-15 01:46:33,FR,11,engineering,ads,True,2025-02-09 01:46:33
284,student,2024-12-15 12:07:57,FR,10,engineering,organic,True,2025-05-10 12:07:57
285,student,2024-05-21 08:02:19,FR,7,finance,school_event,True,2024-06-09 08:02:19
286,student,2024-04-28 20:24:54,FR,2,marketing,Ads,True,2024-10-31 20:24:54
287,professional,2024-08-10 15:02:39,FR,,,organic,True,2025-01-03 15:02:39
288,professional,2024-09-11 05:03:35,FR,,,ads,True,2024-10-29 05:03:35
289,student,2024-04-29 18:23:22,FR,2,finance,organic,True,2024-09-25 18:23:22
290,professional,2024-01-23 00:55:12,FR,,,ads,False,2024-07-10 00:55:12
291,student,2024-08-13 13:32:37,FR,11,finance,school_event,True,2024-08-25 13:32:37
292,student,2024-09-01 23:52:15,FR,7,marketing,school_event,True,2025-02-28 23:52:15
293,student,2024-12-18 06:40:31,FR,1,data,ads,True,2025-04-08 06:40:31
294,student,2024-06-07 11:15:52,FR,2,marketing,Ads,True,2024-12-12 11:15:52
295,professional,2024-09-19 06:10:25,FR,,,Ads,True,2025-02-02 06:10:25
296,student,2024-09-01 20:45:04,FR,7,engineering,ads,True,2024-11-08 20:45:04
297,professional,2024-02-09 07:21:03,FR,,,organic,True,2024-07-20 07:21:03
298,student,2024-05-04 01:01:02,FR,1,marketing,organic,True,2024-06-18 01:01:02
299,student,2024-12-28 14:03:52,FR,2,engineering,organic,True,2025-01-25 14:03:52
300,student,2025-01-27 14:10:03,FR,7,engineering,Ads,True,2025-05-02 14:10:03
301,professional,2024-08-21 12:51:44,FR,,,school_event,True,2024-08-28 12:51:44
302,student,2024-11-30 17:04:33,FR,7,finance,organic,True,2025-06-18 17:04:33
303,student,2024-02-05 03:22:45,FR,7,engineering,ads,True,2024-03-30 03:22:45
304,student,2024-08-14 03:55:32,FR,2,engineering,school_event,True,2024-10-29 03:55:32
305,student,2024-04-02 06:47:52,FR,8,finance,ads,True,2024-07-02 06:47:52
306,student,2024-10-10 23:23:48,FR,2,finance,Ads,True,2025-01-25 23:23:48
307,student,2024-02-05 04:30:56,FR,5,data,Ads,True,2024-06-10 04:30:56
308,student,2024-04-25 16:27:18,FR,9,finance,organic,True,2024-07-20 16:27:18
309,professional,2024-09-07 10:07:56,FR,,,organic,True,2025-01-20 10:07:56
310,student,2024-09-04 20:30:04,FR,7,data,organic,True,2024-10-07 20:30:04
311,student,2024-09-15 23:31:49,FR,11,data,school_event,True,2025-03-06 23:31:49
312,student,2024-06-25 17:42:47,FR,7,data,school_event,True,2024-12-08 17:42:47
313,student,2024-10-22 07:15:41,FR,7,finance,Ads,False,2025-04-24 07:15:41
314,professional,2024-01-15 17:01:05,FR,,,school_event,True,2024-02-27 17:01:05
315,student,2024-06-07 08:48:59,FR,2,engineering,school_event,True,2024-12-17 08:48:59
316,student,2024-04-17 06:02:38,FR,5,finance,organic,True,2024-08-22 06:02:38
317,student,2024-09-05 16:46:20,FR,3,engineering,organic,True,2025-03-02 16:46:20
318,student,2024-08-12 08:04:05,FR,2,engineering,Ads,True,2024-10-27 08:04:05
319,student,2024-06-23 15:49:31,FR,12,marketing,organic,True,2024-12-21 15:49:31
320,student,2024-09-07 06:04:04,FR,5,marketing,organic,True,2025-03-04 06:04:04
321,student,2024-11-02 10:37:04,FR,11,marketing,Ads,True,2025-01-19 10:37:04
322,student,2024-03-02 09:12:55,FR,7,marketing,school_event,True,2024-09-14 09:12:55
323,student,2024-06-05 22:49:14,FR,10,marketing,organic,True,2024-11-14 22:49:14
324,student,2024-07-11 20:32:27,FR,7,data,Ads,True,2024-07-29 20:32:27
