_id,conversation_id,created_at,scheduled_at,completed_at,status,type,duration_minutes,rating
102,337,2024-05-08 21:27:05,2024-05-26 21:27:05,2024-05-26 22:28:05,completed,in_person,49,3
103,340,2024-04-15 02:54:23,2024-05-14 02:54:23,2024-05-14 03:33:23,completed,phone,39,4
104,341,2025-01-03 01:35:05,2025-01-06 01:35:05,2025-01-06 02:19:05,completed,video,40,4
105,347,2024-05-29 15:04:56,2024-06-08 15:04:56,2024-06-08 16:03:56,completed,Video,22,5
106,350,2024-06-06 08:30:58,2024-06-29 08:30:58,,no_show,phone,42,
107,351,2024-06-17 02:45:41,2024-07-14 02:45:41,2024-07-14 04:13:41,completed,video,35,3
108,352,2024-03-20 11:25:21,2024-04-12 11:25:21,2024-04-12 12:25:21,completed,Video,25,3
109,361,2024-11-01 10:38:56,2024-11-22 10:38:56,2024-11-22 11:22:56,completed,Video,37,4
110,362,2025-01-03 12:54:39,2025-01-24 12:54:39,2025-01-24 14:19:39,completed,in_person,56,4
111,367,2024-04-03 09:25:56,2024-04-17 09:25:56,,no_show,in_person,55,
112,368,2024-09-25 10:33:17,2024-10-07 10:33:17,2024-10-07 11:07:17,completed,Video,53,4
113,369,2024-12-28 00:17:02,2025-01-08 00:17:02,2025-01-08 00:58:02,completed,video,34,4
114,370,2024-11-25 09:23:08,2024-12-21 09:23:08,2024-12-21 10:28:08,completed,in_person,38,3
115,371,2024-05-28 08:12:00,2024-06-24 08:12:00,2024-06-24 09:08:00,completed,video,40,4
116,372,2024-01-09 06:56:54,2024-01-24 06:56:54,2024-01-24 08:13:54,completed,phone,43,5
117,374,2024-03-14 02:18:33,2024-03-20 02:18:33,2024-03-20 03:11:33,completed,video,55,4
118,385,2024-02-18 09:49:51,2024-03-03 09:49:51,2024-03-03 11:18:51,completed,phone,55,5
119,389,2024-10-11 11:31:02,2024-10-12 11:31:02,2024-10-12 12:42:02,completed,Video,41,4
120,391,2024-02-20 10:50:49,2024-02-23 10:50:49,2024-02-23 12:08:49,completed,in_person,43,4
121,393,2024-12-10 09:33:14,2024-12-26 09:33:14,,cancelled,phone,57,
122,395,2024-01-03 12:06:24,2024-01-09 12:06:24,2024-01-09 12:48:24,completed,phone,36,4
123,399,2024-03-08 02:56:30,2024-03-28 02:56:30,,no_show,in_person,30,
124,404,2024-08-30 03:53:54,2024-09-12 03:53:54,2024-09-12 04:32:54,completed,in_person,41,4
125,408,2025-01-15 12:07:50,2025-01-24 12:07:50,,no_show,in_person,22,
126,410,2024-05-12 09:52:39,2024-05-13 09:52:39,2024-05-13 10:55:39,completed,video,30,4
127,411,2024-10-26 13:36:33,2024-11-10 13:36:33,2024-11-10 14:41:33,completed,phone,22,3
128,413,2024-08-18 05:33:11,2024-09-16 05:33:11,,no_show,phone,35,
129,417,2025-01-04 02:33:11,2025-02-03 02:33:11,,cancelled,video,28,
130,419,2024-01-27 07:00:20,2024-02-12 07:00:20,,cancelled,Video,20,
131,421,2024-11-23 07:36:36,2024-11-24 07:36:36,2024-11-24 08:40:36,completed,video,41,4
132,424,2024-01-17 21:26:55,2024-02-04 21:26:55,2024-02-04 21:57:55,completed,Video,33,5
133,428,2024-06-30 23:43:31,2024-07-27 23:43:31,,cancelled,video,41,
134,429,2025-01-28 18:26:00,2025-02-20 18:26:00,2025-02-20 19:37:00,completed,in_person,57,4
135,436,2024-05-08 10:11:59,2024-05-27 10:11:59,2024-05-27 10:42:59,completed,Video,60,4
136,444,2024-03-15 10:18:17,2024-03-19 10:18:17,2024-03-19 11:31:17,completed,phone,56,4
137,454,2024-11-26 15:50:03,2024-12-19 15:50:03,,cancelled,video,31,
138,455,2025-01-08 08:00:13,2025-02-05 08:00:13,2025-02-05 08:30:13,completed,Video,34,3
139,456,2024-05-07 00:39:36,2024-06-03 00:39:36,2024-06-03 01:36:36,completed,phone,46,4
140,463,2024-08-08 21:34:03,2024-09-05 21:34:03,,no_show,video,33,
141,464,2024-12-15 17:38:24,2025-01-03 17:38:24,2025-01-03 19:02:24,completed,video,39,3
142,468,2024-01-06 09:40:58,2024-01-27 09:40:58,2024-01-27 10:27:58,completed,phone,22,5
143,469,2024-07-25 06:25:18,2024-07-30 06:25:18,,cancelled,phone,32,
144,471,2024-01-31 22:45:15,2024-02-05 22:45:15,,cancelled,video,50,
145,476,2024-09-08 05:13:11,2024-09-24 05:13:11,2024-09-24 05:49:11,completed,Video,46,4
146,477,2024-01-29 10:30:13,2024-02-05 10:30:13,2024-02-05 11:36:13,completed,phone,43,4
147,478,2024-05-16 02:35:31,2024-05-27 02:35:31,2024-05-27 03:12:31,completed,video,40,4
148,483,2024-03-19 13:03:50,2024-03-27 13:03:50,2024-03-27 14:13:50,completed,phone,29,4
149,485,2024-01-18 09:15:29,2024-02-04 09:15:29,2024-02-04 10:19:29,completed,video,57,5
150,491,2024-05-24 05:57:00,2024-06-23 05:57:00,2024-06-23 07:18:00,completed,Video,49,4
151,493,2024-07-30 19:06:45,2024-08-07 19:06:45,2024-08-07 19:51:45,completed,video,31,4
152,496,2024-03-16 10:57:51,2024-04-03 10:57:51,2024-04-03 12:14:51,completed,phone,41,4
153,502,2025-01-22 13:33:41,2025-02-17 13:33:41,,no_show,Video,52,
154,503,2024-10-29 23:16:07,2024-11-26 23:16:07,2024-11-26 23:51:07,completed,video,46,4
155,505,2024-03-05 12:56:49,2024-04-02 12:56:49,,no_show,Video,44,
156,508,2024-05-09 12:09:09,2024-05-17 12:09:09,,cancelled,Video,37,
157,514,2024-11-07 13:21:13,2024-11-14 13:21:13,2024-11-14 14:06:13,completed,video,53,5
158,515,2024-06-18 03:12:09,2024-07-10 03:12:09,,cancelled,in_person,56,
159,519,2024-12-15 02:27:56,2025-01-08 02:27:56,2025-01-08 03:27:56,completed,Video,23,4
160,522,2024-03-17 08:52:30,2024-03-19 08:52:30,2024-03-19 09:57:30,completed,Video,52,4
161,526,2024-01-18 17:38:58,2024-01-19 17:38:58,,cancelled,in_person,50,
162,531,2024-06-04 04:16:04,2024-07-04 04:16:04,,cancelled,phone,29,
163,532,2024-01-24 23:49:36,2024-01-31 23:49:36,2024-02-01 01:19:36,completed,Video,28,4
164,533,2024-07-28 08:00:23,2024-08-09 08:00:23,,cancelled,in_person,50,
165,535,2024-03-27 08:07:19,2024-04-11 08:07:19,2024-04-11 09:05:19,completed,phone,23,4
166,536,2024-05-03 16:56:39,2024-05-07 16:56:39,2024-05-07 17:59:39,completed,phone,31,4
167,537,2024-02-24 05:57:15,2024-03-25 05:57:15,,no_show,phone,47,
168,539,2024-10-26 06:48:11,2024-11-08 06:48:11,2024-11-08 07:32:11,completed,in_person,54,4
169,540,2024-08-06 23:17:47,2024-09-02 23:17:47,2024-09-03 00:06:47,completed,Video,21,4
170,543,2024-01-31 23:54:37,2024-02-11 23:54:37,,no_show,Video,43,
171,548,2024-06-12 04:16:04,2024-06-25 04:16:04,2024-06-25 05:46:04,completed,Video,57,4
172,549,2024-02-27 12:45:23,2024-03-09 12:45:23,2024-03-09 13:56:23,completed,video,29,4
173,553,2024-08-12 00:43:58,2024-08-26 00:43:58,,cancelled,in_person,57,
174,558,2024-10-25 10:30:15,2024-11-20 10:30:15,2024-11-20 11:48:15,completed,in_person,33,5
175,561,2024-11-11 05:29:32,2024-11-19 05:29:32,,cancelled,phone,59,
176,562,2024-09-14 08:36:19,2024-10-09 08:36:19,2024-10-09 09:56:19,completed,Video,24,4
177,568,2024-04-02 21:20:44,2024-04-23 21:20:44,2024-04-23 22:29:44,completed,phone,49,4
178,569,2024-12-22 18:22:38,2025-01-07 18:22:38,2025-01-07 19:00:38,completed,in_person,32,4
179,580,2024-08-24 03:52:17,2024-09-11 03:52:17,2024-09-11 04:31:17,completed,Video,21,4
180,581,2025-01-05 17:11:13,2025-01-28 17:11:13,2025-01-28 17:42:13,completed,video,26,3
181,583,2024-06-01 13:38:34,2024-06-28 13:38:34,2024-06-28 14:34:34,completed,video,45,4
182,584,2025-01-04 17:57:02,2025-01-07 17:57:02,2025-01-07 18:47:02,completed,phone,26,4
183,588,2024-05-31 07:18:43,2024-06-23 07:18:43,2024-06-23 07:54:43,completed,video,52,4
184,589,2024-12-20 09:11:56,2025-01-12 09:11:56,2025-01-12 10:41:56,completed,phone,52,3
185,592,2024-08-28 09:35:22,2024-09-19 09:35:22,2024-09-19 10:59:22,completed,phone,57,3
186,596,2025-01-30 18:39:42,2025-02-09 18:39:42,,cancelled,Video,22,
187,599,2024-05-21 20:56:54,2024-06-09 20:56:54,2024-06-09 22:13:54,completed,phone,24,3
188,600,2024-06-29 01:07:02,2024-07-06 01:07:02,,cancelled,phone,33,
189,603,2024-05-01 11:16:42,2024-05-15 11:16:42,2024-05-15 12:29:42,completed,in_person,50,4
190,605,2024-05-02 01:09:54,2024-05-31 01:09:54,,cancelled,Video,44,
191,608,2024-10-15 00:02:51,2024-10-31 00:02:51,2024-10-31 00:45:51,completed,video,20,4
192,610,2024-09-09 05:51:03,2024-09-24 05:51:03,2024-09-24 06:37:03,completed,video,50,3
193,612,2024-11-13 12:21:23,2024-12-12 12:21:23,2024-12-12 13:02:23,completed,video,46,5
194,614,2024-06-06 01:31:31,2024-06-25 01:31:31,2024-06-25 02:31:31,completed,phone,45,3
195,615,2024-08-27 23:24:44,2024-09-19 23:24:44,,no_show,in_person,37,
196,622,2025-01-13 07:06:31,2025-02-07 07:06:31,2025-02-07 08:00:31,completed,in_person,52,3
197,624,2024-09-19 04:14:26,2024-10-13 04:14:26,2024-10-13 04:53:26,completed,phone,32,4
198,628,2024-09-07 03:04:21,2024-09-12 03:04:21,,cancelled,phone,54,
199,629,2024-07-19 11:21:23,2024-08-12 11:21:23,,cancelled,in_person,33,
200,631,2024-01-17 23:20:50,2024-02-04 23:20:50,,cancelled,video,51,
201,633,2024-06-15 20:24:04,2024-07-06 20:24:04,2024-07-06 21:45:04,completed,in_person,44,4
202,634,2024-12-23 22:00:12,2025-01-16 22:00:12,2025-01-16 23:13:12,completed,video,31,4
203,636,2024-04-18 22:49:16,2024-05-08 22:49:16,2024-05-09 00:09:16,completed,Video,45,3
204,643,2024-03-28 06:04:29,2024-04-20 06:04:29,2024-04-20 06:48:29,completed,video,57,4
205,644,2024-03-09 03:24:37,2024-03-30 03:24:37,2024-03-30 04:15:37,completed,in_person,45,3
206,646,2024-11-30 17:25:45,2024-12-21 17:25:45,2024-12-21 18:19:45,completed,Video,27,4
207,648,2024-09-13 22:30:44,2024-10-05 22:30:44,2024-10-05 23:16:44,completed,video,48,4
208,655,2024-04-28 12:45:33,2024-05-28 12:45:33,2024-05-28 13:20:33,completed,Video,43,2
209,658,2024-02-23 19:13:41,2024-03-24 19:13:41,2024-03-24 20:13:41,completed,Video,58,5
210,662,2024-12-07 11:30:04,2024-12-13 11:30:04,,cancelled,phone,57,
211,664,2024-06-11 00:17:38,2024-06-26 00:17:38,2024-06-26 00:50:38,completed,phone,43,5
212,665,2024-11-06 01:13:15,2024-11-25 01:13:15,2024-11-25 02:32:15,completed,video,50,4
213,666,2024-04-06 19:37:54,2024-04-12 19:37:54,2024-04-12 21:05:54,completed,in_person,58,4
214,669,2024-09-03 03:03:48,2024-09-26 03:03:48,2024-09-26 04:25:48,completed,in_person,20,4
215,670,2025-01-28 17:29:26,2025-02-02 17:29:26,2025-02-02 18:12:26,completed,video,33,3
216,673,2024-03-18 17:21:57,2024-04-03 17:21:57,,cancelled,in_person,21,
217,674,2024-02-20 17:23:04,2024-02-28 17:23:04,2024-02-28 18:27:04,completed,phone,24,4
218,680,2024-01-31 06:50:29,2024-02-06 06:50:29,,cancelled,phone,24,
219,681,2024-08-26 15:29:33,2024-09-07 15:29:33,,cancelled,video,50,
220,682,2024-11-21 15:11:03,2024-12-21 15:11:03,2024-12-21 16:16:03,completed,Video,29,4
221,684,2024-05-21 01:32:35,2024-06-19 01:32:35,2024-06-19 02:36:35,completed,phone,55,4
222,685,2024-05-06 02:51:55,2024-05-07 02:51:55,,cancelled,in_person,32,
223,686,2024-11-09 12:39:41,2024-12-01 12:39:41,2024-12-01 13:18:41,completed,Video,58,3
224,690,2024-10-19 20:28:29,2024-11-16 20:28:29,2024-11-16 21:37:29,completed,in_person,26,4
225,691,2024-05-11 20:11:14,2024-06-09 20:11:14,2024-06-09 21:32:14,completed,in_person,39,5
226,693,2025-01-04 11:29:33,2025-01-21 11:29:33,2025-01-21 12:53:33,completed,in_person,37,5
227,694,2024-12-08 01:56:46,2024-12-30 01:56:46,2024-12-30 02:28:46,completed,in_person,29,4
228,696,2024-07-22 12:14:51,2024-08-16 12:14:51,2024-08-16 12:51:51,completed,phone,23,3
229,698,2024-06-01 11:03:24,2024-06-19 11:03:24,2024-06-19 11:58:24,completed,phone,42,5
230,701,2024-03-22 17:35:45,2024-03-26 17:35:45,2024-03-26 18:25:45,completed,video,26,5
231,702,2024-08-31 21:03:45,2024-09-29 21:03:45,2024-09-29 22:29:45,completed,in_person,51,4
232,703,2024-07-30 04:07:50,2024-08-25 04:07:50,,no_show,phone,51,
233,710,2024-11-11 01:59:30,2024-12-08 01:59:30,2024-12-08 03:09:30,completed,phone,44,4
234,719,2024-09-23 00:11:08,2024-10-09 00:11:08,2024-10-09 01:36:08,completed,Video,29,4
235,722,2024-05-31 08:47:20,2024-06-29 08:47:20,2024-06-29 09:24:20,completed,video,42,4
236,723,2024-01-13 23:40:09,2024-01-20 23:40:09,2024-01-21 00:23:09,completed,in_person,35,3
237,724,2024-04-27 21:13:12,2024-05-08 21:13:12,2024-05-08 21:53:12,completed,video,58,5
238,726,2024-06-27 23:24:22,2024-07-18 23:24:22,2024-07-19 00:24:22,completed,Video,46,4
239,727,2024-10-17 20:39:58,2024-11-02 20:39:58,,cancelled,in_person,30,
240,729,2024-04-28 02:26:15,2024-05-17 02:26:15,2024-05-17 03:11:15,completed,in_person,44,4
241,730,2024-06-06 01:12:32,2024-06-24 01:12:32,,cancelled,phone,57,
242,733,2024-08-21 00:16:43,2024-08-31 00:16:43,2024-08-31 01:32:43,completed,Video,44,4
243,735,2024-02-21 21:31:05,2024-03-07 21:31:05,2024-03-07 22:34:05,completed,phone,53,4
244,740,2024-11-07 19:23:38,2024-11-28 19:23:38,,cancelled,in_person,27,
245,741,2024-04-27 22:37:06,2024-05-23 22:37:06,2024-05-23 23:41:06,completed,phone,36,4
246,742,2024-08-11 23:08:18,2024-09-06 23:08:18,,cancelled,in_person,24,
247,744,2024-12-31 22:06:52,2025-01-19 22:06:52,2025-01-19 22:57:52,completed,in_person,36,4
248,746,2024-04-29 08:44:22,2024-05-07 08:44:22,2024-05-07 09:24:22,completed,video,29,4
249,752,2024-10-08 14:24:37,2024-11-05 14:24:37,,no_show,video,55,
250,757,2024-03-05 12:58:21,2024-03-27 12:58:21,2024-03-27 13:42:21,completed,Video,31,4
251,759,2024-12-02 22:00:12,2024-12-27 22:00:12,2024-12-27 22:33:12,completed,phone,57,3
252,760,2025-01-13 22:24:22,2025-01-23 22:24:22,2025-01-23 23:01:22,completed,in_person,34,3
253,762,2024-10-24 03:56:34,2024-11-03 03:56:34,2024-11-03 05:12:34,completed,video,56,4
254,778,2024-09-11 05:47:53,2024-10-10 05:47:53,,cancelled,phone,59,
255,782,2024-06-06 00:19:57,2024-06-24 00:19:57,2024-06-24 01:14:57,completed,Video,52,4
256,785,2024-03-27 14:08:56,2024-04-26 14:08:56,2024-04-26 15:09:56,completed,in_person,60,4
257,788,2024-06-03 06:32:16,2024-06-21 06:32:16,2024-06-21 07:46:16,completed,in_person,32,4
258,791,2024-10-26 05:23:49,2024-11-14 05:23:49,,no_show,in_person,34,
259,792,2024-09-04 06:55:17,2024-10-01 06:55:17,2024-10-01 07:40:17,completed,in_person,44,4
260,795,2025-01-19 02:00:58,2025-02-04 02:00:58,2025-02-04 02:50:58,completed,phone,20,4
261,799,2024-12-06 22:37:08,2024-12-18 22:37:08,2024-12-18 23:35:08,completed,Video,58,3
262,800,2024-05-29 07:35:48,2024-06-18 07:35:48,,cancelled,video,25,
263,801,2024-11-06 09:23:51,2024-11-21 09:23:51,2024-11-21 10:38:51,completed,Video,29,4
264,806,2024-04-14 11:07:39,2024-04-15 11:07:39,2024-04-15 11:56:39,completed,video,42,4
265,816,2024-10-02 06:43:25,2024-10-23 06:43:25,2024-10-23 07:18:25,completed,in_person,22,4
266,819,2024-12-17 03:58:24,2025-01-02 03:58:24,2025-01-02 04:48:24,completed,Video,55,4
267,823,2024-10-05 08:07:08,2024-10-26 08:07:08,2024-10-26 09:04:08,completed,Video,59,4
268,825,2024-05-31 03:57:37,2024-06-15 03:57:37,,cancelled,video,42,
269,828,2024-03-14 03:17:46,2024-04-03 03:17:46,2024-04-03 03:58:46,completed,video,28,3
270,830,2025-01-03 11:35:52,2025-01-21 11:35:52,2025-01-21 12:33:52,completed,video,31,3
271,831,2024-03-15 11:01:17,2024-04-01 11:01:17,,no_show,Video,48,
272,835,2024-03-14 00:48:24,2024-04-07 00:48:24,2024-04-07 01:37:24,completed,video,34,4
273,838,2024-01-10 18:28:47,2024-02-08 18:28:47,2024-02-08 19:10:47,completed,video,53,4
274,841,2025-01-21 23:08:47,2025-01-30 23:08:47,2025-01-31 00:10:47,completed,Video,47,5
275,845,2024-12-11 17:23:08,2024-12-17 17:23:08,2024-12-17 18:18:08,completed,in_person,41,4
276,847,2024-08-17 08:39:59,2024-08-30 08:39:59,2024-08-30 09:32:59,completed,phone,56,4
277,853,2024-07-19 23:41:48,2024-07-20 23:41:48,2024-07-21 00:58:48,completed,in_person,50,4
278,858,2024-08-17 11:19:45,2024-09-09 11:19:45,,cancelled,video,21,
279,862,2024-08-12 01:40:58,2024-08-17 01:40:58,2024-08-17 02:41:58,completed,phone,43,4
280,865,2024-01-22 17:16:12,2024-01-23 17:16:12,2024-01-23 18:46:12,completed,video,21,5
281,872,2024-01-13 02:40:09,2024-01-17 02:40:09,2024-01-17 03:10:09,completed,video,47,4
